id,user_id,user_role,log_type,page,details,metadata,device_info,duration_ms,created_at
6805,,staff,button_click,day_view,Clicked: new_order_mobile,,"Platform: iPhone, Screen: 320x693@3, UA: Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Cr",,2026-07-18T12:21:24.043Z
7456,,admin,login,login,User logged in,"{""sessionId"":""s-1784489027801-6j5z6"",""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/login?redirect=%2Fday%2F2026-07-20"",""device"":""Platform: MacIntel, Screen: 1512x982@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1512x982@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-19T19:26:35.387Z
7457,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:11.190Z
7458,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:11.570Z
7459,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:11.607Z
7460,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:11.663Z
7461,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:11.997Z
7462,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:12.020Z
7463,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:12.093Z
7464,,admin,logout,logout,User logged out,"{""url"":""https://nice-bay-0191cb900.7.azurestaticapps.net/day/2026-07-20"",""device"":""Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0."",""role"":""admin"",""displayName"":""Owner""}","Platform: MacIntel, Screen: 1728x1117@2, UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.",,2026-07-20T06:50:12.107Z
