id,order_date,supply_item_id,packets_left,pieces_left,wastage_pieces,has_conflict,conflict_reason,reported_by,created_at
1,2026-06-30T00:00:00.000Z,1,0,0,0,false,,1,2026-06-30T20:43:21.617Z
2,2026-06-30T00:00:00.000Z,2,2,0,0,false,,1,2026-06-30T20:43:21.702Z
3,2026-06-30T00:00:00.000Z,3,2,14,0,false,,1,2026-06-30T20:43:21.786Z
4,2026-07-07T00:00:00.000Z,1,0,0,0,false,,1,2026-07-07T17:31:07.112Z
5,2026-07-07T00:00:00.000Z,2,0,7,0,false,,1,2026-07-07T17:31:07.273Z
6,2026-07-07T00:00:00.000Z,3,0,12,0,false,,1,2026-07-07T17:31:07.365Z
7,2026-07-08T00:00:00.000Z,1,0,0,7,false,,1,2026-07-09T04:57:07.889Z
8,2026-07-08T00:00:00.000Z,2,1,5,0,false,,1,2026-07-09T04:57:07.971Z
9,2026-07-08T00:00:00.000Z,3,1,15,0,false,,1,2026-07-09T04:57:08.053Z
10,2026-07-09T00:00:00.000Z,1,0,4,0,false,,1,2026-07-09T19:02:51.064Z
11,2026-07-09T00:00:00.000Z,2,1,5,0,false,,1,2026-07-09T19:02:51.153Z
12,2026-07-09T00:00:00.000Z,3,0,0,0,false,,1,2026-07-09T19:02:51.241Z
13,2026-07-10T00:00:00.000Z,1,0,0,0,false,,1,2026-07-10T19:22:45.007Z
14,2026-07-10T00:00:00.000Z,2,0,4,2,false,,1,2026-07-10T19:22:45.090Z
15,2026-07-10T00:00:00.000Z,3,1,0,0,false,,1,2026-07-10T19:22:45.173Z
16,2026-07-11T00:00:00.000Z,1,0,0,0,false,,1,2026-07-11T17:58:25.085Z
17,2026-07-11T00:00:00.000Z,2,0,0,0,false,,1,2026-07-11T17:58:25.167Z
18,2026-07-11T00:00:00.000Z,3,0,0,1,false,,1,2026-07-11T17:58:25.251Z
19,2026-07-12T00:00:00.000Z,1,0,0,2,false,,1,2026-07-12T19:20:45.098Z
20,2026-07-12T00:00:00.000Z,2,3,20,2,false,,1,2026-07-12T19:20:45.183Z
21,2026-07-12T00:00:00.000Z,3,1,5,1,false,,1,2026-07-12T19:20:45.272Z
22,2026-07-13T00:00:00.000Z,1,2,7,8,false,,1,2026-07-13T18:08:29.859Z
23,2026-07-13T00:00:00.000Z,2,6,0,2,false,,1,2026-07-13T18:08:29.940Z
24,2026-07-13T00:00:00.000Z,3,2,2,0,false,,1,2026-07-13T18:08:30.021Z
28,2026-07-14T00:00:00.000Z,1,0,0,24,false,,1,2026-07-14T18:09:43.416Z
29,2026-07-14T00:00:00.000Z,2,5,3,0,false,,1,2026-07-14T18:09:43.501Z
30,2026-07-14T00:00:00.000Z,3,3,18,0,false,,1,2026-07-14T18:09:43.585Z
49,2026-07-15T00:00:00.000Z,1,0,0,7,false,,1,2026-07-15T17:38:33.061Z
50,2026-07-15T00:00:00.000Z,2,4,12,12,false,,1,2026-07-15T17:38:33.151Z
51,2026-07-15T00:00:00.000Z,3,2,17,0,false,,1,2026-07-15T17:38:33.243Z
55,2026-07-16T00:00:00.000Z,1,0,9,8,false,,1,2026-07-16T17:28:44.730Z
56,2026-07-16T00:00:00.000Z,2,5,11,1,false,,1,2026-07-16T17:28:44.811Z
57,2026-07-16T00:00:00.000Z,3,1,4,0,false,,1,2026-07-16T17:28:44.891Z
58,2026-07-17T00:00:00.000Z,1,0,0,60,false,,1,2026-07-17T17:39:41.581Z
59,2026-07-17T00:00:00.000Z,2,1,16,4,false,,1,2026-07-17T17:39:41.667Z
60,2026-07-17T00:00:00.000Z,3,4,4,5,false,,1,2026-07-17T17:39:41.753Z
61,2026-07-18T00:00:00.000Z,1,0,0,13,false,,1,2026-07-18T17:21:15.142Z
62,2026-07-18T00:00:00.000Z,2,0,0,6,false,,1,2026-07-18T17:21:15.227Z
63,2026-07-18T00:00:00.000Z,3,0,0,0,false,,1,2026-07-18T17:21:15.312Z
70,2026-07-19T00:00:00.000Z,1,0,17,15,false,,1,2026-07-19T17:39:11.329Z
71,2026-07-19T00:00:00.000Z,2,2,8,13,false,,1,2026-07-19T17:39:11.419Z
72,2026-07-19T00:00:00.000Z,3,0,0,0,false,,1,2026-07-19T17:39:11.507Z
73,2026-07-20T00:00:00.000Z,1,0,0,48,false,,1,2026-07-21T08:47:30.452Z
74,2026-07-20T00:00:00.000Z,2,1,10,12,false,,1,2026-07-21T08:47:30.545Z
75,2026-07-20T00:00:00.000Z,3,0,0,0,false,,1,2026-07-21T08:47:30.640Z
