id,order_date,total_cost,created_by,created_at
1,2026-06-30T00:00:00.000Z,3402,2,2026-06-30T10:30:52.320Z
2,2026-07-05T00:00:00.000Z,2590,2,2026-07-04T20:45:59.898Z
3,2026-07-06T00:00:00.000Z,2610,2,2026-07-06T07:00:38.139Z
4,2026-07-07T00:00:00.000Z,2472,2,2026-07-07T13:10:14.613Z
5,2026-07-08T00:00:00.000Z,3364,2,2026-07-09T04:54:59.991Z
7,2026-07-09T00:00:00.000Z,2510,2,2026-07-09T14:27:09.197Z
9,2026-07-10T00:00:00.000Z,3278,2,2026-07-10T17:12:37.106Z
10,2026-07-11T00:00:00.000Z,2946,2,2026-07-10T22:09:30.221Z
11,2026-07-12T00:00:00.000Z,4034,2,2026-07-12T12:38:04.096Z
12,2026-07-13T00:00:00.000Z,3072,2,2026-07-13T10:49:52.979Z
13,2026-07-14T00:00:00.000Z,2532,2,2026-07-14T13:02:19.391Z
14,2026-07-15T00:00:00.000Z,2512,2,2026-07-15T04:16:45.413Z
15,2026-07-16T00:00:00.000Z,2512,2,2026-07-16T04:47:20.136Z
16,2026-07-17T00:00:00.000Z,2570,2,2026-07-17T01:52:32.591Z
18,2026-07-18T00:00:00.000Z,2292,2,2026-07-18T17:02:02.248Z
19,2026-07-19T00:00:00.000Z,3740,2,2026-07-19T06:10:33.649Z
20,2026-07-20T00:00:00.000Z,2590,2,2026-07-20T06:50:55.502Z
21,2026-07-21T00:00:00.000Z,2828,2,2026-07-21T06:26:09.898Z
