id,order_date,description,amount,created_by,created_at
26,2026-06-25T00:00:00.000Z,Water,40,1,2026-07-11T05:38:19.883Z
27,2026-06-25T00:00:00.000Z,Oil,130,1,2026-07-11T05:38:19.966Z
34,2026-07-11T00:00:00.000Z,Napkins,650,1,2026-07-11T15:10:50.071Z
35,2026-07-11T00:00:00.000Z,Plates,960,1,2026-07-11T15:10:50.157Z
36,2026-07-11T00:00:00.000Z,Water,40,1,2026-07-11T15:10:50.242Z
37,2026-07-11T00:00:00.000Z,Prent out,30,1,2026-07-11T15:10:50.329Z
38,2026-07-11T00:00:00.000Z,Police,1000,1,2026-07-11T15:10:50.416Z
46,2026-07-12T00:00:00.000Z,Water,40,1,2026-07-13T04:42:23.257Z
47,2026-07-12T00:00:00.000Z,Oil,130,1,2026-07-13T04:42:23.347Z
48,2026-07-12T00:00:00.000Z,Porter,250,1,2026-07-13T04:42:23.436Z
49,2026-07-12T00:00:00.000Z,Amar,250,1,2026-07-13T04:42:23.526Z
50,2026-07-12T00:00:00.000Z,Adil - Youtube,500,1,2026-07-13T04:42:23.616Z
60,2026-07-13T00:00:00.000Z,Water,40,1,2026-07-13T18:09:06.780Z
61,2026-07-13T00:00:00.000Z,2 chat masala,180,1,2026-07-13T18:09:06.865Z
62,2026-07-13T00:00:00.000Z,Juna,30,1,2026-07-13T18:09:06.951Z
63,2026-07-13T00:00:00.000Z,Polithin 5,250,1,2026-07-13T18:09:07.036Z
64,2026-07-13T00:00:00.000Z,dhop batti,15,1,2026-07-13T18:09:07.121Z
65,2026-07-13T00:00:00.000Z,Amar,250,1,2026-07-13T18:09:07.206Z
84,2026-07-14T00:00:00.000Z,Water,40,1,2026-07-14T18:08:16.557Z
85,2026-07-14T00:00:00.000Z,porter,210,1,2026-07-14T18:08:16.640Z
86,2026-07-14T00:00:00.000Z,Cantenar,200,1,2026-07-14T18:08:16.722Z
87,2026-07-14T00:00:00.000Z,Chammach,100,1,2026-07-14T18:08:16.805Z
88,2026-07-14T00:00:00.000Z,Oil,130,1,2026-07-14T18:08:16.888Z
89,2026-07-14T00:00:00.000Z,Amar,250,1,2026-07-14T18:08:16.970Z
111,2026-07-15T00:00:00.000Z,Water,40,1,2026-07-15T19:31:53.441Z
112,2026-07-15T00:00:00.000Z,salt,30,1,2026-07-15T19:31:53.533Z
113,2026-07-15T00:00:00.000Z,porter,240,1,2026-07-15T19:31:53.624Z
114,2026-07-15T00:00:00.000Z,parking momos,100,1,2026-07-15T19:31:53.714Z
115,2026-07-15T00:00:00.000Z,electricity,100,1,2026-07-15T19:31:53.805Z
116,2026-07-15T00:00:00.000Z,Rohit,100,1,2026-07-15T19:31:53.893Z
117,2026-07-16T00:00:00.000Z,Water,40,1,2026-07-16T12:42:17.811Z
143,2026-07-17T00:00:00.000Z,Container*,200,1,2026-07-17T18:14:44.049Z
144,2026-07-17T00:00:00.000Z,Oil*,130,1,2026-07-17T18:14:44.136Z
145,2026-07-17T00:00:00.000Z,Porter*,177,1,2026-07-17T18:14:44.222Z
146,2026-07-17T00:00:00.000Z,Rohit salary advance*,500,1,2026-07-17T18:14:44.308Z
147,2026-07-17T00:00:00.000Z,Water*,30,1,2026-07-17T18:14:44.393Z
148,2026-07-17T00:00:00.000Z,Water,40,1,2026-07-17T18:14:44.480Z
149,2026-07-17T00:00:00.000Z,Aroma Masala (Online),230,1,2026-07-17T18:14:44.566Z
150,2026-07-17T00:00:00.000Z,Sonu bhaiya salary,7000,1,2026-07-17T18:14:44.654Z
158,2026-07-18T00:00:00.000Z,Water,40,1,2026-07-18T17:22:09.617Z
159,2026-07-18T00:00:00.000Z,Weld,1000,1,2026-07-18T17:22:09.701Z
160,2026-07-18T00:00:00.000Z,Dhoop,270,1,2026-07-18T17:22:09.784Z
161,2026-07-18T00:00:00.000Z,Electrician,400,1,2026-07-18T17:22:09.867Z
162,2026-07-18T00:00:00.000Z,Water,30,1,2026-07-18T17:22:09.951Z
163,2026-07-19T00:00:00.000Z,Water,40,1,2026-07-19T11:57:45.933Z
164,2026-07-19T00:00:00.000Z,Oil,130,1,2026-07-19T11:57:46.015Z
165,2026-07-19T00:00:00.000Z,Porter,241,1,2026-07-19T11:57:46.114Z
