id,order_date,time_label,order_type,payment_method,is_completed,total_amount,cash_amount,upi_amount,created_by,created_at,completed_at
1782821270782,2026-06-30T00:00:00.000Z,11:07 pm,pack,upi,true,109,0,109,1,2026-06-30T12:07:51.186Z,2026-06-30T12:11:13.199Z
1782821282861,2026-06-30T00:00:00.000Z,11:08 pm,dine,upi,true,109,0,109,1,2026-06-30T12:08:03.087Z,2026-06-30T12:11:11.342Z
1782822565683,2026-06-30T00:00:00.000Z,11:29 pm,pack,upi,true,60,0,60,1,2026-06-30T12:29:26.028Z,2026-06-30T12:29:30.079Z
1782822808076,2026-06-30T00:00:00.000Z,11:33 pm,dine,upi,true,89,0,89,1,2026-06-30T12:33:28.427Z,2026-06-30T12:59:34.830Z
1782822826218,2026-06-30T00:00:00.000Z,11:33 pm,dine,upi,true,109,0,109,1,2026-06-30T12:33:46.594Z,2026-06-30T12:37:49.991Z
1782823097597,2026-06-30T00:00:00.000Z,11:38 pm,pack,upi,true,178,0,178,1,2026-06-30T12:38:17.945Z,2026-06-30T12:59:30.813Z
1782823176121,2026-06-30T00:00:00.000Z,11:39 pm,dine,upi,true,129,0,129,1,2026-06-30T12:39:37.443Z,2026-06-30T12:59:40.636Z
1782823279766,2026-06-30T00:00:00.000Z,11:41 pm,dine,upi,true,109,0,109,1,2026-06-30T12:41:21.082Z,2026-06-30T12:48:17.408Z
1782823549859,2026-06-30T00:00:00.000Z,11:45 pm,dine,upi,true,109,0,109,1,2026-06-30T12:45:50.206Z,2026-06-30T12:59:45.070Z
1782823798988,2026-06-30T00:00:00.000Z,11:49 pm,pack,upi,true,238,0,238,1,2026-06-30T12:50:00.354Z,2026-06-30T12:59:54.003Z
1782824411641,2026-06-30T00:00:00.000Z,12:00 am,pack,cash,true,129,129,0,1,2026-06-30T13:00:11.972Z,2026-06-30T13:15:35.071Z
1782825348572,2026-06-30T00:00:00.000Z,12:15 am,dine,cash,true,109,109,0,1,2026-06-30T13:15:48.914Z,2026-06-30T13:22:19.343Z
1782825359662,2026-06-30T00:00:00.000Z,12:15 am,pack,upi,true,139,0,139,1,2026-06-30T13:15:59.869Z,2026-06-30T13:29:03.975Z
1782825398046,2026-06-30T00:00:00.000Z,12:16 am,dine,upi,true,60,0,60,1,2026-06-30T13:16:39.426Z,2026-06-30T13:22:12.611Z
1782826149523,2026-06-30T00:00:00.000Z,12:29 am,pack,upi,true,109,0,109,1,2026-06-30T13:29:09.881Z,2026-06-30T13:29:58.056Z
1782826595608,2026-06-30T00:00:00.000Z,12:36 am,dine,upi,true,50,0,50,1,2026-06-30T13:36:35.970Z,2026-06-30T13:41:07.565Z
1782826704878,2026-06-30T00:00:00.000Z,12:38 am,dine,upi,true,129,0,129,1,2026-06-30T13:38:25.238Z,2026-06-30T13:50:17.660Z
1782827454596,2026-06-30T00:00:00.000Z,12:50 am,dine,upi,true,60,0,60,1,2026-06-30T13:50:55.937Z,2026-06-30T13:51:10.984Z
1782827604469,2026-06-30T00:00:00.000Z,12:53 am,dine,cash,true,129,129,0,1,2026-06-30T13:53:25.764Z,2026-06-30T14:10:02.612Z
1782827998884,2026-06-30T00:00:00.000Z,12:59 am,pack,cash,true,50,50,0,1,2026-06-30T13:59:59.228Z,2026-06-30T14:00:06.873Z
1782829714809,2026-06-30T00:00:00.000Z,01:28 am,pack,upi,true,109,0,109,1,2026-06-30T14:28:35.139Z,2026-06-30T14:41:47.304Z
1782829753147,2026-06-30T00:00:00.000Z,01:29 am,dine,upi,true,60,0,60,1,2026-06-30T14:29:13.542Z,2026-06-30T14:30:04.733Z
1782829754366,2026-06-30T00:00:00.000Z,01:29 am,dine,cash,true,60,60,0,1,2026-06-30T14:29:14.574Z,2026-06-30T14:33:29.990Z
1782830530712,2026-06-30T00:00:00.000Z,01:42 am,pack,upi,true,189,0,189,1,2026-06-30T14:42:11.030Z,2026-06-30T14:42:19.562Z
1782830700315,2026-06-30T00:00:00.000Z,01:45 am,dine,upi,true,109,0,109,1,2026-06-30T14:45:00.659Z,2026-06-30T15:03:35.682Z
1782830711059,2026-06-30T00:00:00.000Z,01:45 am,dine,upi,true,60,0,60,1,2026-06-30T14:45:11.403Z,2026-06-30T15:00:32.436Z
1782830886535,2026-06-30T00:00:00.000Z,01:48 am,pack,cash,true,109,109,0,1,2026-06-30T14:48:07.844Z,2026-06-30T15:00:21.573Z
1782831205557,2026-06-30T00:00:00.000Z,01:53 am,pack,cash,true,129,129,0,1,2026-06-30T14:53:26.827Z,2026-06-30T14:59:55.983Z
1782840569648,2026-06-30T00:00:00.000Z,04:29 am,pack,cash,true,288,288,0,1,2026-06-30T17:29:30.993Z,2026-06-30T20:43:30.391Z
1782924693361,2026-07-01T00:00:00.000Z,03:51 am,dine,split,true,117,100,17,1,2026-07-01T16:51:34.762Z,2026-07-01T16:51:49.575Z
1783082188183,2026-07-03T00:00:00.000Z,11:36 pm,pack,upi,false,288,0,288,1,2026-07-03T12:36:29.493Z,
1783197988834,2026-07-05T00:00:00.000Z,07:46 am,pack,upi,false,516,0,516,1,2026-07-04T20:46:29.156Z,
1783429874193,2026-07-07T00:00:00.000Z,06:41 pm,pack,cash,true,240,240,0,1,2026-07-07T13:11:15.557Z,2026-07-07T13:19:12.213Z
1783430360274,2026-07-07T00:00:00.000Z,06:49 pm,pack,cash,true,129,129,0,1,2026-07-07T13:19:21.562Z,2026-07-07T13:19:32.723Z
1783430384106,2026-07-07T00:00:00.000Z,06:49 pm,pack,cash,true,50,50,0,1,2026-07-07T13:19:44.450Z,2026-07-07T13:20:12.691Z
1783430600700,2026-07-07T00:00:00.000Z,06:53 pm,pack,cash,true,60,60,0,1,2026-07-07T13:23:22.084Z,2026-07-07T13:29:34.135Z
1783430894885,2026-07-07T00:00:00.000Z,06:58 pm,pack,split,true,109,9,100,1,2026-07-07T13:28:16.273Z,2026-07-07T13:29:53.862Z
1783431044358,2026-07-07T00:00:00.000Z,07:00 pm,dine,cash,true,60,60,0,1,2026-07-07T13:30:44.711Z,2026-07-07T13:38:39.472Z
1783431558059,2026-07-07T00:00:00.000Z,07:09 pm,dine,cash,true,109,109,0,1,2026-07-07T13:39:18.443Z,2026-07-07T13:40:20.570Z
1783431578018,2026-07-07T00:00:00.000Z,07:09 pm,pack,cash,true,60,60,0,1,2026-07-07T13:39:39.317Z,2026-07-07T13:40:20.597Z
1783431636009,2026-07-07T00:00:00.000Z,07:10 pm,dine,upi,true,109,0,109,1,2026-07-07T13:40:36.372Z,2026-07-07T13:43:40.629Z
1783431651704,2026-07-07T00:00:00.000Z,07:10 pm,dine,cash,true,60,60,0,1,2026-07-07T13:40:52.022Z,2026-07-07T13:43:36.081Z
1783432238302,2026-07-07T00:00:00.000Z,07:20 pm,pack,upi,true,109,0,109,1,2026-07-07T13:50:39.762Z,2026-07-07T13:51:33.410Z
1783432250753,2026-07-07T00:00:00.000Z,07:20 pm,pack,upi,true,149,0,149,1,2026-07-07T13:50:50.992Z,2026-07-07T13:50:59.915Z
1783433419487,2026-07-07T00:00:00.000Z,07:40 pm,pack,upi,true,109,0,109,1,2026-07-07T14:10:20.721Z,2026-07-07T14:10:27.445Z
1783433504155,2026-07-07T00:00:00.000Z,07:41 pm,dine,cash,true,89,89,0,1,2026-07-07T14:11:44.516Z,2026-07-07T15:01:38.533Z
1783434900098,2026-07-07T00:00:00.000Z,08:05 pm,pack,upi,true,843,0,843,1,2026-07-07T14:35:01.444Z,2026-07-07T15:01:38.525Z
1783436511818,2026-07-07T00:00:00.000Z,08:31 pm,pack,cash,true,129,129,0,1,2026-07-07T15:01:52.173Z,2026-07-07T15:02:19.284Z
1783436536454,2026-07-07T00:00:00.000Z,08:32 pm,pack,upi,true,149,0,149,1,2026-07-07T15:02:16.805Z,2026-07-07T15:02:22.624Z
1783436566567,2026-07-07T00:00:00.000Z,08:32 pm,dine,upi,true,149,0,149,1,2026-07-07T15:02:46.781Z,2026-07-07T15:03:19.807Z
1783436596791,2026-07-07T00:00:00.000Z,08:33 pm,dine,upi,true,278,0,278,1,2026-07-07T15:03:17.003Z,2026-07-07T15:17:29.189Z
1783437439529,2026-07-07T00:00:00.000Z,08:47 pm,pack,upi,true,149,0,149,1,2026-07-07T15:17:19.863Z,2026-07-07T15:17:29.772Z
