id,order_date,operation_type,created_by,created_at,details,metadata
828,2026-07-18T00:00:00.000Z,login,1,2026-07-18T11:58:22.142Z,Login: staff (Cart Staff),"{""userId"":1,""role"":""staff"",""displayName"":""Cart Staff""}"
829,2026-07-18T00:00:00.000Z,verification,1,2026-07-18T12:00:36.515Z,"Verified 4 items, 1 conflict","{""orderDate"":""2026-07-18"",""itemCount"":4,""conflictCount"":1,""allMatch"":false}"
830,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T12:03:00.406Z,"Order #1784376179654 created: 18 items, ₹327.00, cash","{""orderId"":1784376179654,""itemCount"":18,""totalAmount"":327,""paymentMethod"":""cash"",""orderType"":""pack""}"
831,2026-07-18T00:00:00.000Z,expense_save,1,2026-07-18T12:11:25.744Z,"Saved 3 expense(s), total ₹1310.00","{""orderDate"":""2026-07-18"",""itemCount"":3,""totalAmount"":1310,""items"":[{""description"":""Water"",""amount"":40},{""description"":""Weld"",""amount"":1000},{""description"":""Dhoop"",""amount"":270}]}"
832,2026-07-18T00:00:00.000Z,login,1,2026-07-18T12:21:10.628Z,Login: staff (Cart Staff),"{""userId"":1,""role"":""staff"",""displayName"":""Cart Staff""}"
833,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T12:21:32.927Z,"Order #1784377292241 created: 3 items, ₹60.00, cash","{""orderId"":1784377292241,""itemCount"":3,""totalAmount"":60,""paymentMethod"":""cash"",""orderType"":""pack""}"
834,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T12:21:40.177Z,"Order #1784377299625 created: 3 items, ₹50.00, cash","{""orderId"":1784377299625,""itemCount"":3,""totalAmount"":50,""paymentMethod"":""cash"",""orderType"":""pack""}"
835,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T12:21:42.130Z,Order #1784376179654 completed: cash,"{""orderId"":1784376179654,""paymentMethod"":""cash"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":327}"
836,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T12:21:43.178Z,Order #1784377292241 completed: cash,"{""orderId"":1784377292241,""paymentMethod"":""cash"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":60}"
837,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T12:21:44.020Z,Order #1784377299625 completed: cash,"{""orderId"":1784377299625,""paymentMethod"":""cash"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":50}"
