id,order_date,action,created_by,created_at,item_summary
1,2026-06-30T00:00:00.000Z,UPDATE,2,2026-06-30T10:30:52.750Z,"Veg Momo Packet (24 Pcs): 4, Paneer Momo Packet (24 Pcs): 9, CheeseCorn Momo Packet (24 Pcs): 6, Red Sauce: 3"
2,2026-07-05T00:00:00.000Z,UPDATE,2,2026-07-04T20:46:00.390Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 6, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 2"
3,2026-07-06T00:00:00.000Z,UPDATE,2,2026-07-06T07:00:38.585Z,"Veg Momo Packet (24 Pcs): 4, Paneer Momo Packet (24 Pcs): 7, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 2"
4,2026-07-07T00:00:00.000Z,UPDATE,2,2026-07-07T13:10:15.134Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 6, CheeseCorn Momo Packet (24 Pcs): 3, Red Sauce: 1, Molten Cheese: 1"
5,2026-07-08T00:00:00.000Z,UPDATE,2,2026-07-09T04:55:00.506Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 9, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 3, Chipotle: 1"
6,2026-07-09T00:00:00.000Z,UPDATE,2,2026-07-09T04:59:17.047Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 8, CheeseCorn Momo Packet (24 Pcs): 3, Red Sauce: 3"
7,2026-07-09T00:00:00.000Z,UPDATE,2,2026-07-09T14:27:09.636Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 8, CheeseCorn Momo Packet (24 Pcs): 2, Red Sauce: 2"
8,2026-07-10T00:00:00.000Z,UPDATE,2,2026-07-09T19:04:33.472Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 8, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 4, Oregano: 1"
9,2026-07-10T00:00:00.000Z,UPDATE,2,2026-07-10T17:12:37.606Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 7, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 4, Oregano: 1"
10,2026-07-11T00:00:00.000Z,UPDATE,2,2026-07-10T22:09:30.655Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 9, CheeseCorn Momo Packet (24 Pcs): 3, Red Sauce: 3"
11,2026-07-12T00:00:00.000Z,UPDATE,2,2026-07-12T12:38:04.543Z,"Veg Momo Packet (24 Pcs): 6, Paneer Momo Packet (24 Pcs): 12, CheeseCorn Momo Packet (24 Pcs): 5, Red Sauce: 4"
12,2026-07-13T00:00:00.000Z,UPDATE,2,2026-07-13T10:49:53.716Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 6, CheeseCorn Momo Packet (24 Pcs): 3, Red Sauce: 1, Chipotle: 1, Schezwan Sauce: 1, Oregano: 1"
13,2026-07-14T00:00:00.000Z,UPDATE,2,2026-07-14T13:02:19.937Z,"Veg Momo Packet (24 Pcs): 4, Paneer Momo Packet (24 Pcs): 6, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 1, Molten Cheese: 1"
14,2026-07-15T00:00:00.000Z,UPDATE,2,2026-07-15T04:16:45.853Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 7, CheeseCorn Momo Packet (24 Pcs): 2, Red Sauce: 4"
15,2026-07-16T00:00:00.000Z,UPDATE,2,2026-07-16T04:47:20.589Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 7, CheeseCorn Momo Packet (24 Pcs): 2, Red Sauce: 4"
16,2026-07-17T00:00:00.000Z,UPDATE,2,2026-07-17T01:52:33.014Z,"Veg Momo Packet (24 Pcs): 6, Paneer Momo Packet (24 Pcs): 3, CheeseCorn Momo Packet (24 Pcs): 6, Red Sauce: 1"
17,2026-07-18T00:00:00.000Z,UPDATE,2,2026-07-18T04:54:49.246Z,"Veg Momo Packet (24 Pcs): 6, Paneer Momo Packet (24 Pcs): 8, CheeseCorn Momo Packet (24 Pcs): 1, Red Sauce: 2"
18,2026-07-18T00:00:00.000Z,UPDATE,2,2026-07-18T17:02:02.661Z,"Veg Momo Packet (24 Pcs): 6, Paneer Momo Packet (24 Pcs): 7, CheeseCorn Momo Packet (24 Pcs): 1, Red Sauce: 2"
19,2026-07-19T00:00:00.000Z,UPDATE,2,2026-07-19T06:10:34.260Z,"Veg Momo Packet (24 Pcs): 6, Paneer Momo Packet (24 Pcs): 10, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 2, Chipotle: 1, Molten Cheese: 1"
20,2026-07-20T00:00:00.000Z,UPDATE,2,2026-07-20T06:50:55.982Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 6, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 2"
21,2026-07-21T00:00:00.000Z,UPDATE,2,2026-07-21T06:26:10.359Z,"Veg Momo Packet (24 Pcs): 5, Paneer Momo Packet (24 Pcs): 7, CheeseCorn Momo Packet (24 Pcs): 4, Red Sauce: 3"
