id,order_date,supply_item_id,expected_qty,actual_qty,has_conflict,reported_by,created_at
1,2026-06-30T00:00:00.000Z,1,4,4,false,1,2026-06-30T12:07:30.831Z
2,2026-06-30T00:00:00.000Z,2,9,9,false,1,2026-06-30T12:07:30.923Z
3,2026-06-30T00:00:00.000Z,3,6,6,false,1,2026-06-30T12:07:31.014Z
4,2026-06-30T00:00:00.000Z,4,3,3,false,1,2026-06-30T12:07:31.105Z
5,2026-07-05T00:00:00.000Z,1,5,5,false,1,2026-07-04T20:46:14.667Z
6,2026-07-05T00:00:00.000Z,2,6,6,false,1,2026-07-04T20:46:14.751Z
7,2026-07-05T00:00:00.000Z,3,4,4,false,1,2026-07-04T20:46:14.837Z
8,2026-07-05T00:00:00.000Z,4,2,2,false,1,2026-07-04T20:46:14.924Z
9,2026-07-07T00:00:00.000Z,1,5,5,false,1,2026-07-07T13:10:27.940Z
10,2026-07-07T00:00:00.000Z,2,6,6,false,1,2026-07-07T13:10:28.030Z
11,2026-07-07T00:00:00.000Z,3,3,3,false,1,2026-07-07T13:10:28.119Z
12,2026-07-07T00:00:00.000Z,4,1,1,false,1,2026-07-07T13:10:28.209Z
13,2026-07-07T00:00:00.000Z,8,1,1,false,1,2026-07-07T13:10:28.300Z
14,2026-07-08T00:00:00.000Z,1,5,5,false,1,2026-07-09T04:55:45.134Z
15,2026-07-08T00:00:00.000Z,2,9,9,false,1,2026-07-09T04:55:45.217Z
16,2026-07-08T00:00:00.000Z,3,4,4,false,1,2026-07-09T04:55:45.301Z
17,2026-07-08T00:00:00.000Z,4,3,3,false,1,2026-07-09T04:55:45.384Z
18,2026-07-08T00:00:00.000Z,5,1,1,false,1,2026-07-09T04:55:45.468Z
19,2026-07-06T00:00:00.000Z,1,4,4,false,1,2026-07-09T09:32:04.388Z
20,2026-07-06T00:00:00.000Z,2,7,7,false,1,2026-07-09T09:32:04.476Z
21,2026-07-06T00:00:00.000Z,3,4,4,false,1,2026-07-09T09:32:04.564Z
22,2026-07-06T00:00:00.000Z,4,2,2,false,1,2026-07-09T09:32:04.651Z
27,2026-07-09T00:00:00.000Z,1,5,5,false,1,2026-07-09T15:33:41.036Z
28,2026-07-09T00:00:00.000Z,2,8,8,false,1,2026-07-09T15:33:41.124Z
29,2026-07-09T00:00:00.000Z,3,2,2,false,1,2026-07-09T15:33:41.213Z
30,2026-07-09T00:00:00.000Z,4,2,2,false,1,2026-07-09T15:33:41.300Z
36,2026-07-10T00:00:00.000Z,1,5,5,false,1,2026-07-10T17:17:40.272Z
37,2026-07-10T00:00:00.000Z,2,7,7,false,1,2026-07-10T17:17:40.369Z
38,2026-07-10T00:00:00.000Z,3,4,4,false,1,2026-07-10T17:17:40.461Z
39,2026-07-10T00:00:00.000Z,4,4,4,false,1,2026-07-10T17:17:40.552Z
40,2026-07-10T00:00:00.000Z,7,1,1,false,1,2026-07-10T17:17:40.643Z
41,2026-07-11T00:00:00.000Z,1,5,5,false,1,2026-07-11T12:11:48.493Z
42,2026-07-11T00:00:00.000Z,2,9,9,false,1,2026-07-11T12:11:48.581Z
43,2026-07-11T00:00:00.000Z,3,3,3,false,1,2026-07-11T12:11:48.667Z
44,2026-07-11T00:00:00.000Z,4,3,3,false,1,2026-07-11T12:11:48.755Z
45,2026-07-12T00:00:00.000Z,1,6,6,false,1,2026-07-12T13:53:30.989Z
46,2026-07-12T00:00:00.000Z,2,12,12,false,1,2026-07-12T13:53:31.078Z
47,2026-07-12T00:00:00.000Z,3,5,5,false,1,2026-07-12T13:53:31.168Z
48,2026-07-12T00:00:00.000Z,4,4,4,false,1,2026-07-12T13:53:31.257Z
49,2026-07-13T00:00:00.000Z,1,5,6,true,1,2026-07-13T12:09:32.403Z
50,2026-07-13T00:00:00.000Z,2,6,6,false,1,2026-07-13T12:09:32.488Z
51,2026-07-13T00:00:00.000Z,3,3,3,false,1,2026-07-13T12:09:32.576Z
52,2026-07-13T00:00:00.000Z,4,1,1,false,1,2026-07-13T12:09:32.661Z
53,2026-07-13T00:00:00.000Z,6,1,1,false,1,2026-07-13T12:09:32.746Z
54,2026-07-13T00:00:00.000Z,5,1,1,false,1,2026-07-13T12:09:32.830Z
55,2026-07-13T00:00:00.000Z,7,1,1,false,1,2026-07-13T12:09:32.916Z
56,2026-07-14T00:00:00.000Z,1,4,4,false,1,2026-07-14T13:04:01.222Z
57,2026-07-14T00:00:00.000Z,2,6,6,false,1,2026-07-14T13:04:01.327Z
58,2026-07-14T00:00:00.000Z,3,4,4,false,1,2026-07-14T13:04:01.431Z
59,2026-07-14T00:00:00.000Z,4,1,1,false,1,2026-07-14T13:04:01.535Z
60,2026-07-14T00:00:00.000Z,8,1,1,false,1,2026-07-14T13:04:01.639Z
61,2026-07-15T00:00:00.000Z,1,5,5,false,1,2026-07-15T12:47:01.309Z
62,2026-07-15T00:00:00.000Z,2,7,7,false,1,2026-07-15T12:47:01.402Z
63,2026-07-15T00:00:00.000Z,3,2,2,false,1,2026-07-15T12:47:01.494Z
64,2026-07-15T00:00:00.000Z,4,4,4,false,1,2026-07-15T12:47:01.586Z
109,2026-07-16T00:00:00.000Z,1,5,5,false,1,2026-07-16T12:29:20.951Z
110,2026-07-16T00:00:00.000Z,2,7,7,false,1,2026-07-16T12:29:21.035Z
111,2026-07-16T00:00:00.000Z,3,2,2,false,1,2026-07-16T12:29:21.118Z
112,2026-07-16T00:00:00.000Z,4,4,4,false,1,2026-07-16T12:29:21.200Z
113,2026-07-17T00:00:00.000Z,1,6,6,false,1,2026-07-17T12:11:49.170Z
114,2026-07-17T00:00:00.000Z,2,3,3,false,1,2026-07-17T12:11:49.254Z
115,2026-07-17T00:00:00.000Z,3,6,6,false,1,2026-07-17T12:11:49.338Z
116,2026-07-17T00:00:00.000Z,4,1,1,false,1,2026-07-17T12:11:49.423Z
121,2026-07-18T00:00:00.000Z,1,6,6,false,1,2026-07-18T17:02:15.371Z
122,2026-07-18T00:00:00.000Z,2,7,7,false,1,2026-07-18T17:02:15.456Z
